Trait Type,Element Name,Filename,Weight,Occurrence %
"BACKGROUND","Blue01","Blue01.png",1,9.09%
"BACKGROUND","Blue02","Blue02.png",1,9.09%
"BACKGROUND","Cream","Cream.png",1,9.09%
"BACKGROUND","Green01","Green01.png",1,9.09%
"BACKGROUND","Green02","Green02.png",1,9.09%
"BACKGROUND","Grey","Grey.png",1,9.09%
"BACKGROUND","Orange","Orange.png",1,9.09%
"BACKGROUND","Pink01","Pink01.png",1,9.09%
"BACKGROUND","Pink02","Pink02.png",1,9.09%
"BACKGROUND","Red","Red.png",1,9.09%
"BACKGROUND","Yellow","Yellow.png",1,9.09%
"SKIN","Blue","Blue.png",1,7.14%
"SKIN","Brown","Brown.png",1,7.14%
"SKIN","Green","Green.png",1,7.14%
"SKIN","GreenLight","GreenLight.png",1,7.14%
"SKIN","Grey","Grey.png",1,7.14%
"SKIN","GreyNose","GreyNose.png",1,7.14%
"SKIN","Orange","Orange.png",1,7.14%
"SKIN","OrangeNose","OrangeNose.png",1,7.14%
"SKIN","Pink","Pink.png",1,7.14%
"SKIN","PinkNose","PinkNose.png",1,7.14%
"SKIN","Red","Red.png",1,7.14%
"SKIN","Stars","Stars.png",1,7.14%
"SKIN","White","White.png",1,7.14%
"SKIN","Yellow","Yellow.png",1,7.14%
"BEARD","3Days","3Days.png",1,14.29%
"BEARD","Empty","Empty.png",1,14.29%
"BEARD","FrenchMustache","FrenchMustache.png",1,14.29%
"BEARD","LilBeard","LilBeard.png",1,14.29%
"BEARD","Major","Major.png",1,14.29%
"BEARD","MisterT","MisterT.png",1,14.29%
"BEARD","MustacheBlack","MustacheBlack.png",1,14.29%
"EYES","Crying","Crying#20.png",20,7.22%
"EYES","CyclopeGold","CyclopeGold#5.png",5,1.81%
"EYES","CyclopeSteel","CyclopeSteel#5.png",5,1.81%
"EYES","Diamonds","Diamonds#15.png",15,5.42%
"EYES","Dollars","Dollars#25.png",25,9.03%
"EYES","HeartBlack","HeartBlack#4.png",4,1.44%
"EYES","HeartGold","HeartGold#4.png",4,1.44%
"EYES","HeartRed","HeartRed#4.png",4,1.44%
"EYES","Kiss","Kiss#20.png",20,7.22%
"EYES","Matrix01","Matrix01#9.png",9,3.25%
"EYES","Matrix02","Matrix02#9.png",9,3.25%
"EYES","Pirate","Pirate#20.png",20,7.22%
"EYES","RayBan1970","RayBan1970#6.png",6,2.17%
"EYES","RayBanBlack","RayBanBlack#8.png",8,2.89%
"EYES","RayBanBlue","RayBanBlue#5.png",5,1.81%
"EYES","RayBanGreen","RayBanGreen#5.png",5,1.81%
"EYES","RayBanMini","RayBanMini#2.png",2,0.72%
"EYES","RayBanNear","RayBanNear#8.png",8,2.89%
"EYES","RayBanRed","RayBanRed#3.png",3,1.08%
"EYES","RayBanYellow","RayBanYellow#8.png",8,2.89%
"EYES","Regular","Regular#60.png",60,21.66%
"EYES","SkiBlue","SkiBlue#3.png",3,1.08%
"EYES","SkiGold","SkiGold#3.png",3,1.08%
"EYES","StarBlack","StarBlack#2.png",2,0.72%
"EYES","StarGold","StarGold#2.png",2,0.72%
"EYES","StarRed","StarRed#2.png",2,0.72%
"EYES","Three","Three#10.png",10,3.61%
"EYES","Wire","Wire#10.png",10,3.61%
"HEAD","ArmyHelmet","ArmyHelmet.png",1,1.52%
"HEAD","BackwardGreenCap","BackwardGreenCap.png",1,1.52%
